,Activation,Normd: Averaged on Last Epoch,Std: Averaged on Last Epoch,Normd: Averaged Max Achieved,Std: Averaged Max Achieved,Normd: Overall Max on Last Epoch,Std: Overall Max on Last Epoch,Normd: Overall Max Achieved,Std: Overall Max Achieved,Overall Max,Normd: Averaged Max Epoch,Std: Averaged Max Epoch
5,selu,97.89999999999999,97.79199999999999,97.98200000000001,97.99000000000001,97.99,97.88,98.2,98.13,98.2,80,54
4,elu,97.88,97.62400000000001,98.01599999999999,97.802,97.92999999999999,97.77,98.17,97.98,98.17,69,71
16,"elu, alpha = 1.5",97.894,97.786,97.966,97.91399999999999,97.96000000000001,97.89,98.09,98.1,98.1,98,42
15,"elu, alpha = 0.5",97.866,97.506,97.902,97.722,97.94,97.75,98.1,97.91,98.1,77,52
6,softplus,97.636,97.16600000000003,97.76599999999999,97.622,97.69,97.35000000000001,97.9,97.78999999999999,97.9,45,27
14,"ThresholdedReLU, theta = 0.13",97.09199999999998,97.306,97.38200000000002,97.498,97.18,97.6,97.56,97.78,97.78,19,49
0,sigmoid,97.536,97.33800000000001,97.624,97.44999999999999,97.61,97.47,97.77,97.64,97.77,86,39
2,relu,97.424,97.134,97.55,97.46000000000001,97.52,97.37,97.77,97.72999999999999,97.77,34,27
8,hard_sigmoid,97.412,97.386,97.49600000000001,97.41199999999999,97.57000000000001,97.48,97.77,97.61999999999999,97.77,96,71
1,tanh,97.48599999999999,97.30399999999999,97.578,97.38799999999999,97.65,97.37,97.76,97.6,97.76,62,68
11,"LeakyReLU, alpha = 0.01",97.35600000000002,97.286,97.552,97.468,97.48,97.32,97.72999999999999,97.63,97.72999999999999,28,30
7,softsign,97.38399999999999,97.444,97.468,97.506,97.49,97.56,97.61,97.67,97.67,73,79
9,LeakyReLU,97.21399999999998,97.306,97.32,97.352,97.32,97.47,97.49,97.52,97.52,81,79
10,ThresholdedReLU,86.636,96.548,95.66600000000001,96.892,89.16,96.63000000000001,96.22,97.14,97.14,12,30
13,"ThresholdedReLU, theta = 1.0",75.464,95.784,92.65599999999999,96.18400000000001,78.45,96.23,94.23,96.59,96.59,4,39
12,"LeakyReLU, alpha = 1.5",94.03,93.722,94.168,94.004,94.21000000000001,94.04,94.37,94.37,94.37,83,55
3,linear,92.23400000000001,91.64999999999999,92.496,92.154,92.41,92.28,92.75999999999999,92.67999999999999,92.75999999999999,33,38
